surah_number,ayah_number,arabic_uthmani,blank,english_saheeh_international
2,40,يا بَني إِسرائيلَ اذكُروا نِعمَتِيَ الَّتي أَنعَمتُ عَلَيكُم وَأَوفوا بِعَهدي أوفِ بِعَهدِكُم وَإِيّايَ فَارهَبونِ,yā-banī ʾisrāʾīl dhkurū niʿmatiy llatī ʾanʿamt ʿalaykum w-ʾawfū b-ʿahdī ʾūf b-ʿahdikum w-ʾiyyāy f-rhabūn,"O Children of Israel, remember My favor which I have bestowed upon you and fulfill My covenant upon you that I will fulfill your covenant from Me, and be afraid of only Me"
2,41,وَآمِنوا بِما أَنزَلتُ مُصَدِّقًا لِما مَعَكُم وَلا تَكونوا أَوَّلَ كافِرٍ بِهِ ۖ وَلا تَشتَروا بِآياتي ثَمَنًا قَليلًا وَإِيّايَ فَاتَّقونِ,w-ʾāminū b-mā ʾanzalt muṣaddiq l-mā maʿakum w-lā takūnū ʾawwal kāfir bihī w-lā tashtarū b-ʾāyātī thaman qalīl w-ʾiyyāy f-ttaqūn,"And believe in what I have sent down confirming that which is already with you, and be not the first to disbelieve in it. And do not exchange My signs for a small price, and fear only Me"
2,42,وَلا تَلبِسُوا الحَقَّ بِالباطِلِ وَتَكتُمُوا الحَقَّ وَأَنتُم تَعلَمونَ,w-lā talbisūl-ḥaqq b-l-bāṭil w-taktumūl-ḥaqq w-ʾantum taʿlamūn,And do not mix the truth with falsehood or conceal the truth while you know it
2,43,وَأَقيمُوا الصَّلاةَ وَآتُوا الزَّكاةَ وَاركَعوا مَعَ الرّاكِعينَ,w-ʾaqīmū ṣ-ṣalāt w-ʾātū z-zakāt w-rkaʿū maʿ r-rākiʿīn,And establish prayer and give zakah and bow with those who bow in worship and obedience
2,44,۞ أَتَأمُرونَ النّاسَ بِالبِرِّ وَتَنسَونَ أَنفُسَكُم وَأَنتُم تَتلونَ الكِتابَ ۚ أَفَلا تَعقِلونَ,ʾ-taʾmurūn n-nās b-l-birr w-tansawn ʾanfusakum w-ʾantum tatlūnal-kitāb ʾ-f-lā taʿqilūn,Do you order righteousness of the people and forget yourselves while you recite the Scripture? Then will you not reason
2,45,وَاستَعينوا بِالصَّبرِ وَالصَّلاةِ ۚ وَإِنَّها لَكَبيرَةٌ إِلّا عَلَى الخاشِعينَ,w-staʿīnū b-ṣ-ṣabr w-ṣ-ṣalāt w-ʾinnahā l-kabīrat ʾillā ʿalāl-khāshiʿīn,"And seek help through patience and prayer, and indeed, it is difficult except for the humbly submissive to Allah"
2,46,الَّذينَ يَظُنّونَ أَنَّهُم مُلاقو رَبِّهِم وَأَنَّهُم إِلَيهِ راجِعونَ,alladhīn yaẓunnūn ʾannahum mulāqū rabbihim w-ʾannahum ʾilayh rājiʿūn,Who are certain that they will meet their Lord and that they will return to Him
2,47,يا بَني إِسرائيلَ اذكُروا نِعمَتِيَ الَّتي أَنعَمتُ عَلَيكُم وَأَنّي فَضَّلتُكُم عَلَى العالَمينَ,yā-banī ʾisrāʾīl dhkurū niʿmatiy llatī ʾanʿamt ʿalaykum w-ʾannī faḍḍaltukum ʿalāl-ʿālamīn,"O Children of Israel, remember My favor that I have bestowed upon you and that I preferred you over the worlds"
2,48,وَاتَّقوا يَومًا لا تَجزي نَفسٌ عَن نَفسٍ شَيئًا وَلا يُقبَلُ مِنها شَفاعَةٌ وَلا يُؤخَذُ مِنها عَدلٌ وَلا هُم يُنصَرونَ,w-ttaqū yawm lā tajzī nafs ʿ nafs shayʾ w-lā yuqbal minhā shafāʿat w-lā yuʾkhadh minhā ʿadl w-lā hum yunṣarūn,"And fear a Day when no soul will suffice for another soul at all, nor will intercession be accepted from it, nor will compensation be taken from it, nor will they be aided"
2,49,وَإِذ نَجَّيناكُم مِن آلِ فِرعَونَ يَسومونَكُم سوءَ العَذابِ يُذَبِّحونَ أَبناءَكُم وَيَستَحيونَ نِساءَكُم ۚ وَفي ذٰلِكُم بَلاءٌ مِن رَبِّكُم عَظيمٌ,w-ʾidh najjaynākum m ʾāl firʿawn yasūmūnakum sūʾal-ʿadhāb yudhabbiḥūn ʾabnāʾakum w-yastaḥyūn nisāʾakum w-fī dhālikum balāʾ m rabbikum ʿaẓīm,"And recall when We saved your forefathers from the people of Pharaoh, who afflicted you with the worst torment, slaughtering your newborn sons and keeping your females alive. And in that was a great trial from your Lord"
2,50,وَإِذ فَرَقنا بِكُمُ البَحرَ فَأَنجَيناكُم وَأَغرَقنا آلَ فِرعَونَ وَأَنتُم تَنظُرونَ,w-ʾidh faraqnā bikumul-baḥr f-ʾanjaynākum w-ʾaghraqnā ʾāl firʿawn w-ʾantum tanẓurūn,And recall when We parted the sea for you and saved you and drowned the people of Pharaoh while you were looking on
2,51,وَإِذ واعَدنا موسىٰ أَربَعينَ لَيلَةً ثُمَّ اتَّخَذتُمُ العِجلَ مِن بَعدِهِ وَأَنتُم ظالِمونَ,w-ʾidh wāʿadnā mūsā ʾarbaʿīn laylat thumm ttakhadhtumul-ʿijl m baʿdihī w-ʾantum ẓālimūn,"And recall when We made an appointment with Moses for forty nights. Then you took for worship the calf after him, while you were wrongdoers"
2,52,ثُمَّ عَفَونا عَنكُم مِن بَعدِ ذٰلِكَ لَعَلَّكُم تَشكُرونَ,thumm ʿafawnā ʿankum m baʿd dhālik laʿallakum tashkurūn,Then We forgave you after that so perhaps you would be grateful
2,53,وَإِذ آتَينا موسَى الكِتابَ وَالفُرقانَ لَعَلَّكُم تَهتَدونَ,w-ʾidh ʾātaynā mūsāl-kitāb w-l-furqān laʿallakum tahtadūn,And recall when We gave Moses the Scripture and criterion that perhaps you would be guided
2,54,وَإِذ قالَ موسىٰ لِقَومِهِ يا قَومِ إِنَّكُم ظَلَمتُم أَنفُسَكُم بِاتِّخاذِكُمُ العِجلَ فَتوبوا إِلىٰ بارِئِكُم فَاقتُلوا أَنفُسَكُم ذٰلِكُم خَيرٌ لَكُم عِندَ بارِئِكُم فَتابَ عَلَيكُم ۚ إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ,w-ʾidh qāl mūsā l-qawmihī yā-qawm ʾinnakum ẓalamtum ʾanfusakum b-ttikhādhikumul-ʿijl f-tūbū ʾilā bāriʾikum f-qtulū ʾanfusakum dhālikum khayr lakum ʿind bāriʾikum f-tāb ʿalaykum ʾinnahū huw t-tawwāb r-raḥīm,"And recall when Moses said to his people, ""O my people, indeed you have wronged yourselves by your taking of the calf for worship. So repent to your Creator and kill yourselves. That is best for all of you in the sight of your Creator."" Then He accepted your repentance; indeed, He is the Accepting of repentance, the Merciful"
2,55,وَإِذ قُلتُم يا موسىٰ لَن نُؤمِنَ لَكَ حَتّىٰ نَرَى اللَّهَ جَهرَةً فَأَخَذَتكُمُ الصّاعِقَةُ وَأَنتُم تَنظُرونَ,w-ʾidh qultum yā-mūsā l nuʾmin lak ḥattā narā llāh jahrat f-ʾakhadhatkum ṣ-ṣāʿiqat w-ʾantum tanẓurūn,"And recall when you said, ""O Moses, we will never believe you until we see Allah outright""; so the thunderbolt took you while you were looking on"
2,56,ثُمَّ بَعَثناكُم مِن بَعدِ مَوتِكُم لَعَلَّكُم تَشكُرونَ,thumm baʿathnākum m baʿd mawtikum laʿallakum tashkurūn,Then We revived you after your death that perhaps you would be grateful
